Sample Accession No.	Prefetch & FastQDump Runtime	Classification Time	Total TaxIDs	Total Hits	Pielou's Evenness	Top TaxID	Top TaxID Name	Top TaxID Hits	Total Viral TaxIDs	Total Viral Hits	Top Viral TaxID	Top Viral TaxID Name	Top Viral TaxID Hits
SRR5556575	2701	288	 6395 	 10155010 	 0.63 	 2 	 Bacteria 	 573643 	 1243 	 35121 	 187217 	 T1virus 	 6958
SRR5556578	1407	293	 6403 	 9897718 	 0.63 	 2 	 Bacteria 	 602467 	 1241 	 19709 	 370565 	 Streptococcus phage 2096.2 	 3099
SRR5556574	1564	338	 6247 	 10037352 	 0.62 	 1834200 	 Parabacteroides sp. YL27 	 816277 	 1148 	 89847 	 187217 	 T1virus 	 41386
SRR5556579	1478	360	 6283 	 10621337 	 0.61 	 816 	 Bacteroides 	 667902 	 1157 	 19477 	 370565 	 Streptococcus phage 2096.2 	 2749
SRR5556577	1464	274	 6542 	 9971934 	 0.59 	 816 	 Bacteroides 	 903647 	 1357 	 19180 	 370565 	 Streptococcus phage 2096.2 	 1560
ERR1780366	337	124	 1972 	 818555 	 0.33 	 10116 	 Rattus norvegicus 	 295354 	 123 	 13132 	 1349410 	 Pandoravirus salinus 	 4158
ERR1780368	214	124	 1723 	 702507 	 0.33 	 10116 	 Rattus norvegicus 	 269853 	 81 	 10073 	 1349410 	 Pandoravirus salinus 	 3092
ERR1780370	249	152	 2062 	 694628 	 0.33 	 10116 	 Rattus norvegicus 	 300391 	 106 	 5252 	 1349410 	 Pandoravirus salinus 	 1631
ERR1780367	302	103	 1932 	 546878 	 0.32 	 10116 	 Rattus norvegicus 	 270658 	 99 	 4584 	 1349410 	 Pandoravirus salinus 	 1303
ERR2013703	515	244	 2698 	 248313 	 0.31 	 1 	 root 	 123261 	 119 	 4708 	 374840 	 Enterobacteria phage phiX174 sensu lato 	 4514
SRR5504198	329	58	 849 	 971359 	 0.3 	 1 	 root 	 323652 	 36 	 5205 	 1798085 	 Piscine myocarditis-like virus 	 4449
SRR5504197	331	80	 1118 	 1237128 	 0.28 	 1702287 	 Negativicoccus massiliensis 	 427007 	 42 	 7027 	 1798085 	 Piscine myocarditis-like virus 	 5910
SRR5504203	427	89	 1300 	 1590079 	 0.28 	 1702287 	 Negativicoccus massiliensis 	 575250 	 51 	 5331 	 1798085 	 Piscine myocarditis-like virus 	 4058
SRR5504201	303	80	 896 	 1337750 	 0.27 	 1702287 	 Negativicoccus massiliensis 	 501509 	 38 	 10955 	 1798085 	 Piscine myocarditis-like virus 	 9749
SRR5504202	538	130	 1440 	 2059202 	 0.27 	 1702287 	 Negativicoccus massiliensis 	 679995 	 64 	 10576 	 1798085 	 Piscine myocarditis-like virus 	 8820
ERR1780369	211	174	 2035 	 692347 	 0.27 	 10116 	 Rattus norvegicus 	 363243 	 110 	 6949 	 1349410 	 Pandoravirus salinus 	 2319
SRR5504205	553	113	 1206 	 1801333 	 0.27 	 1702287 	 Negativicoccus massiliensis 	 619932 	 47 	 6695 	 1798085 	 Piscine myocarditis-like virus 	 5219
SRR5504195	378	84	 1053 	 1493086 	 0.27 	 1702287 	 Negativicoccus massiliensis 	 538783 	 46 	 4364 	 1798085 	 Piscine myocarditis-like virus 	 3053
SRR5504199	349	102	 1021 	 1689948 	 0.26 	 1702287 	 Negativicoccus massiliensis 	 625314 	 43 	 17966 	 1798085 	 Piscine myocarditis-like virus 	 16044
SRR5470959	2805	1516	 5448 	 6482371 	 0.25 	 131567 	 cellular organisms 	 3313645 	 925 	 26377 	 1667587 	 Papio ursinus cytomegalovirus 	 4721
SRR5504196	242	66	 924 	 1415092 	 0.25 	 1702287 	 Negativicoccus massiliensis 	 559896 	 34 	 8372 	 1798085 	 Piscine myocarditis-like virus 	 7419
SRR5504200	317	113	 1121 	 2014855 	 0.25 	 1702287 	 Negativicoccus massiliensis 	 805233 	 38 	 7657 	 1798085 	 Piscine myocarditis-like virus 	 6348
SRR5504194	248	66	 995 	 1409849 	 0.25 	 1702287 	 Negativicoccus massiliensis 	 547533 	 35 	 6397 	 1798085 	 Piscine myocarditis-like virus 	 5481
SRR5504204	271	96	 1153 	 1659899 	 0.25 	 1702287 	 Negativicoccus massiliensis 	 650691 	 42 	 5495 	 1798085 	 Piscine myocarditis-like virus 	 4364
SRR5264109	325	118	 4354 	 1047756 	 0.23 	 10116 	 Rattus norvegicus 	 662588 	 422 	 3706 	 374840 	 Enterobacteria phage phiX174 sensu lato 	 1209
SRR5141904	1164	329	 5585 	 2965459 	 0.22 	 10116 	 Rattus norvegicus 	 1826236 	 998 	 12148 	 76875 	 Broad bean wilt virus 2 	 1696
SRR5264110	426	186	 4562 	 1094889 	 0.22 	 10116 	 Rattus norvegicus 	 721387 	 480 	 4241 	 374840 	 Enterobacteria phage phiX174 sensu lato 	 1446
SRR5264106	442	129	 4865 	 1387601 	 0.21 	 10116 	 Rattus norvegicus 	 1016133 	 580 	 6530 	 374840 	 Enterobacteria phage phiX174 sensu lato 	 2031
SRR5526728	216	50	 2898 	 2506615 	 0.21 	 10116 	 Rattus norvegicus 	 902465 	 143 	 2276 	 364745 	 Choristoneura occidentalis granulovirus 	 1079
SRR5526738	230	93	 2597 	 2680125 	 0.21 	 10116 	 Rattus norvegicus 	 1160096 	 142 	 2241 	 364745 	 Choristoneura occidentalis granulovirus 	 636
SRR5526739	300	105	 2637 	 2727131 	 0.21 	 10116 	 Rattus norvegicus 	 1178301 	 130 	 2238 	 364745 	 Choristoneura occidentalis granulovirus 	 651
SRR5526727	170	65	 2890 	 2458036 	 0.21 	 10116 	 Rattus norvegicus 	 879622 	 153 	 2237 	 364745 	 Choristoneura occidentalis granulovirus 	 1065
SRR5526725	189	53	 2868 	 2439771 	 0.21 	 10116 	 Rattus norvegicus 	 876577 	 162 	 2191 	 364745 	 Choristoneura occidentalis granulovirus 	 1012
SRR5526740	213	84	 2647 	 2799418 	 0.21 	 10116 	 Rattus norvegicus 	 1213930 	 143 	 2185 	 364745 	 Choristoneura occidentalis granulovirus 	 612
SRR5526732	247	37	 2431 	 2359402 	 0.21 	 10116 	 Rattus norvegicus 	 1028171 	 127 	 2167 	 364745 	 Choristoneura occidentalis granulovirus 	 611
SRR5526731	198	39	 2418 	 2308921 	 0.21 	 10116 	 Rattus norvegicus 	 1004176 	 129 	 2128 	 364745 	 Choristoneura occidentalis granulovirus 	 651
SRR5526720	238	39	 2431 	 2261402 	 0.21 	 10116 	 Rattus norvegicus 	 918068 	 125 	 2119 	 364745 	 Choristoneura occidentalis granulovirus 	 615
SRR5526704	185	43	 2399 	 2126465 	 0.21 	 10116 	 Rattus norvegicus 	 846939 	 122 	 2117 	 1917232 	 Only Syngen Nebraska virus 5 	 549
SRR5526737	185	65	 2617 	 2716051 	 0.21 	 10116 	 Rattus norvegicus 	 1178167 	 135 	 2110 	 364745 	 Choristoneura occidentalis granulovirus 	 580
